Johnson Clinic,101845696,123 Main St,Portland,OR,97201
Marys Health Center,102312906,456 Oak St,Portland,OR,97202
Elite Medical Group,103400532,789 Pine St,Portland,OR,97203
City Wellness Center,104388215,321 Cedar St,Portland,OR,97204
Sunshine Medical Care,105473074,654 Maple St,Portland,OR,97205
Bay Area Health Services,106597136,987 Birch St,Portland,OR,97206
Sound Health Clinic,107563211,147 Elm St,Portland,OR,97207
Metro Med Associates,108365254,258 Walnut St,Portland,OR,97208
Southern Vitality Center,109787782,369 Pineapple St,Portland,OR,97209
Capital Care Clinic,110105660,753 Orange St,Portland,OR,97210
